Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Parking,id,Provincia,Región,rango_baths,rango_dormitorios,rango_parqueos
154681,quilicura,Estacionrunge/rigobertojara,3,3,82.0,0,11657389,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
343490,lacisterna,GranAvenidaJoséMiguelCarrera/ElParrón,5,2,145.0,0,11657370,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
90909,pedroaguirrecerda,DepartamentalconClotarioBlestGana,4,4,90.0,0,10912770,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
308166,nunoa,Josepedroalessandriconrodrigodearaya,3,2,109.0,1,5715362,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
93400,puentealto,PuenteAlto,2,1,75.0,1,10358022,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
155666,puentealto,Pieandino,4,2,60.0,1,6936779,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
837672,buin,CaminoLaCervera,5,3,230.0,10,7039780,Maipo,Metropolitana de Santiago,1-5,1-5,1-5
554016,lareina,MateodeToroyZambrano,5,2,200.0,1,7135419,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
1989583,lobarnechea,CaminoLaVilla/CaminoTurístico,7,7,700.0,0,3728591,Santiago,Metropolitana de Santiago,6-10,6-10,6-10
155125,estacioncentral,AvEcuador-AVGeneralVelásquezponiente,3,1,100.0,0,8874357,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
620498,maipu,Lautaro,5,3,1100.0,3,8420598,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
771191,caleradetango,CondominioLasFuentes-paradero6CaminoLonquenNorte,6,5,480.0,12,11490880,Maipo,Metropolitana de Santiago,1-5,6-10,6-10
567313,laflorida,Calleelulmo,4,4,170.0,4,8104576,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
514570,lobarnechea,LosTrapenses,4,3,232.0,2,6532629,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
576177,lareina,AlcaldedelaLastraconAxelMunthe,5,3,210.0,4,8329942,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
169751,maipu,Segundatransversal/losministros,2,2,61.0,0,8800353,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
199253,lampa,HaciendaLarapinta,4,2,120.0,2,10634415,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
331967,laflorida,ExcelentepropiedadenSánchezFontecilla,4,4,121.0,2,11318748,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
323786,melipilla,ElEsfuerzo/Codigua,4,3,172.0,0,5718899,Melipilla,Metropolitana de Santiago,1-5,1-5,1-5
881994,colina,Algarrobal,6,6,350.0,8,9610601,Chacabuco,Metropolitana de Santiago,6-10,6-10,6-10
518116,laflorida,VistaCordillera/AltoMacul,4,0,182.0,0,8810272,Santiago,Metropolitana de Santiago,Sin Baños,1-5,1-5
361146,santiago,RicardoCummings/SantaMonica,5,3,250.0,1,5660697,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
498132,santiago,Coquimbo/Lira,11,4,399.0,0,9377416,Santiago,Metropolitana de Santiago,1-5,11-15,11-15
222914,macul,Casaenventaacuadrasdeclínicabupa,2,1,70.0,4,9179895,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
219390,providencia,Avenidajosemanuelinfante1333,5,4,82.0,0,11312341,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
72229,melipilla,Casa2PisosenVillaLosJazmines,2,1,48.0,0,11656088,Melipilla,Metropolitana de Santiago,1-5,1-5,1-5
93400,pudahuel,Casa2PisosenConjuntoLaViña,3,1,76.0,0,11656084,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
747198,nunoa,Propiedadde2PisoscercanaaEstaciónMetroÑuñoa,10,3,345.0,1,11656076,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
249066,puentealto,CasaAisladacon2°PisoenSantaMaríadelPeñón,3,2,136.0,0,11656052,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
149629,lacisterna,AutopistaVespucioSurydeGoycolea,4,3,135.0,0,10027205,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
1418281,lobarnechea,CaminoHuallalolen/CaminoelCajón,4,4,876.0,4,6953554,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
278781,quintanormal,IngenieroLloydconConsulPoinsett,3,2,129.0,3,11313085,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
881994,lareina,PrincipedeGales/PadreHurtado,6,4,305.0,4,9347714,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
319113,macul,EscuelaAgrícola/VicuñaMackenna,7,2,112.0,0,7525018,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
139036,sanbernardo,SanBernardo,5,3,90.0,2,10341448,Maipo,Metropolitana de Santiago,1-5,1-5,1-5
249066,loprado,CasaaunpardecuadrasdelMetroSanPablo,5,2,177.0,0,9422314,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
452077,laflorida,AltoMacul,4,3,160.0,0,8014649,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
469806,penalolen,CondominioLaderadelasPircas,3,3,130.0,3,11654462,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
398448,colina,Colina,3,3,130.0,2,8754925,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
135729,sanjoaquin,departamentalconvecinal,3,1,104.0,2,11312506,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
149440,elbosque,CalleNavus/Baquedano,3,2,110.0,0,5283660,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
217920,puentealto,elapero,5,3,160.0,3,11312596,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
311333,padrehurtado,Cuartatransversal,2,2,90.0,0,9822267,Talagante,Metropolitana de Santiago,1-5,1-5,1-5
921883,colina,AvJoséRabat12000,4,3,262.0,2,9419185,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
507479,lobarnechea,LoBarnechea,3,3,150.0,1,6989404,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
159557,maipu,IslaDesolación,3,2,78.0,2,10061399,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
396676,colina,AyresdeChicureo,5,4,222.0,0,11311573,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
144709,penaflor,Espectacularcasareformada,3,1,100.0,0,10615743,Talagante,Metropolitana de Santiago,1-5,1-5,1-5
180573,renca,Miraflores/CombateNaval,5,2,165.0,0,5486801,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
1280885,lobarnechea,MonseñorAdolfoRodriguez/Huinganal/LaDehesa,4,4,261.0,6,7693741,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
354570,macul,Irán,5,3,125.0,4,10049136,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
410959,macul,-oportunidadcomercial-enriquebarrenechea,7,7,,0,11310453,Santiago,Metropolitana de Santiago,6-10,6-10,6-10
